BIOCHEMICAL,SUPER PATHWAY,SUB PATHWAY,PLATFORM,RI,MASS,PUBCHEM,KEGG,HMDB,Cat 1_vial 1,Cat 2_vial 1,cat 3_vial 1,cat 4_vial 1,cat 5_vial 1,cat 6_vial 1,cat 7_vial 1,cat 8_vial 1,cat 1_vial 2,cat 2_vial 2,cat 3_vial 2,cat 4_vial 2,cat 5_vial 2,cat 6_vial 2,cat 7_vial 2,cat 8_vial 2,cat 1_vial 3,cat 2_vial 3,cat 3_vial 3,cat 4_vial 3,cat 5_vial 3,cat 6_vial 3,cat 7_vial 3,cat 8_vial 3
glutarylcarnitine (C5-DC),Amino Acid,Lysine Metabolism,LC/MS Pos Early,2393,276.14417,71464488,,HMDB13130,"809,406","802,840","1,052,236","740,376","768,842","1,074,813","1,872,384","1,005,287","762,780","791,621","829,306","1,024,252","816,934","1,297,128","1,728,706","941,373","910,096","909,302","1,220,224","774,227","566,322","1,207,714","1,738,624","1,003,570"
"glutathione, oxidized (GSSG)",Amino Acid,Glutathione Metabolism,LC/MS Pos Early,2667,613.15925,65359,C00127,HMDB03337,"124,112",,,,"193,569",,"90,572","252,499",,,,"107,256",,,"173,997","195,692","2,208,592","1,199,944","2,017,773","2,565,089","1,956,146","1,792,981","2,470,205","6,523,159"
glycerate,Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",LC/MS Polar,2070.4,105.01933,752,C00258,HMDB00139,"47,359,572","38,159,476","34,920,056","42,160,316","61,848,616","58,706,436","55,004,652","54,402,840","53,692,808","45,130,620","39,850,312","56,830,276","58,503,612","58,619,928","52,052,464","55,487,320","31,027,880","31,151,996","26,218,076","35,675,420","40,673,804","40,661,040","38,467,408","43,587,552"
glycerol,Lipid,Glycerolipid Metabolism,LC/MS Neg,758,91.04007,753,C00116,HMDB00131,"23,975,462","21,336,288","16,509,928","11,378,337","27,366,532","17,915,840","19,423,530","53,374,156","20,881,964","20,566,920","14,539,224","19,780,900","25,313,294","20,669,098","15,815,449","44,424,336","19,292,628","17,297,500","13,827,698","15,195,925","16,583,809","20,312,930","22,131,404","46,026,648"
glycerol 3-phosphate,Lipid,Glycerolipid Metabolism,LC/MS Pos Early,580,173.02095,754,C00093,HMDB00126,"7,248,124","6,688,176","5,880,647","3,768,173","5,233,313","4,365,606","4,096,131","5,481,113","7,729,381","7,106,055","6,256,850","4,689,541","5,459,789","4,761,001","2,416,362","5,560,881","6,255,503","5,633,127","4,763,899","3,463,428","3,974,514","3,308,815","4,183,177","4,714,258"
glycerophosphoethanolamine,Lipid,Phospholipid Metabolism,LC/MS Polar,3075,214.04859,123874,C01233,HMDB00114,"9,586,689","11,737,267","14,144,130","8,787,793","8,746,994","6,863,094","7,260,583","11,881,541","10,603,732","12,554,937","13,617,190","9,453,200","7,109,701","6,686,041","6,000,251","9,015,524","9,239,034","11,351,391","11,265,145","8,934,832","6,749,016","6,711,493","7,678,794","10,096,769"
glycerophosphoglycerol,Lipid,Glycerolipid Metabolism,LC/MS Polar,2430,245.04317,439964,C03274,,"1,047,939","2,583,959","1,664,673","2,562,559","2,327,301","1,968,515","1,085,490","2,869,113","1,354,321","2,856,139","1,558,567","2,682,972","1,899,458","1,883,574","1,042,588","2,088,125","861,714","2,064,406","1,250,790","2,024,912","1,722,380","1,725,116","1,519,634","1,986,153"
glycerophosphoinositol*,Lipid,Phospholipid Metabolism,LC/MS Polar,3850,333.05922,167572,,,"1,625,686","3,556,601","5,871,289","3,540,388","2,151,538","3,732,559","6,684,233","10,904,265","1,068,233","3,512,237","8,112,629","4,227,185","2,692,186","3,993,078","4,342,765","2,595,798","1,563,604","4,386,533","8,956,023","4,686,381","2,241,215","3,768,329","6,039,643","3,748,749"
glycerophosphorylcholine (GPC),Lipid,Phospholipid Metabolism,LC/MS Pos Early,672,258.1101,71920,C00670,HMDB00086,"409,498,912","433,725,888","513,481,152","394,087,360","339,261,408","322,776,256","266,445,456","412,204,096","420,660,672","470,898,208","502,823,424","435,296,224","326,013,024","335,826,784","261,940,096","408,211,424","354,625,088","417,816,288","473,831,168","459,382,080","316,703,648","364,028,480","279,533,984","381,086,016"
glycerophosphoserine*,Lipid,Phospholipid Metabolism,LC/MS Pos Early,577,260.05298,3081457,,,"172,667","109,225","101,457","116,540","310,949","214,927","226,663","203,530","183,357","89,138","139,042","89,412","219,757","192,636","178,867","162,525","240,115","76,937","164,199","156,201","200,468","255,790","169,935","283,634"
glycine,Amino Acid,"Glycine, Serine and Threonine Metabolism",LC/MS Pos Early,1375,76.03931,750,C00037,HMDB00123,"399,931,104","440,570,240","351,022,016","460,264,704","513,011,200","402,807,808","491,796,096","342,948,416","388,083,136","426,255,648","343,015,232","490,931,072","511,041,280","419,686,816","471,702,368","325,007,168","394,320,384","442,461,600","333,704,000","485,023,328","509,679,712","419,343,392","478,391,552","330,820,992"
glycochenodeoxycholate,Lipid,Primary Bile Acid Metabolism,LC/MS Neg,5236.1,448.30684,12544,C05466,HMDB00637,,,,,,,,,,,,,,,"92,377",,,,,,,,"89,275",
glycochenodeoxycholate sulfate,Lipid,Primary Bile Acid Metabolism,LC/MS Neg,4820,263.62819,,,,,,,,,,,,,,,,,,"86,963",,,,,,,,"110,764",
"glycosyl ceramide (d18:1/20:0, d16:1/22:0)*",Lipid,Ceramides,LC/MS Pos Late,3414,756.6348,,,,"1,748,050","2,910,112","3,581,944","3,722,761","2,478,354","1,082,155","1,936,182","2,508,481","1,730,508","2,700,842","3,997,320","4,336,254","2,640,084","1,261,119","1,721,737","2,193,343","2,312,923","2,872,316","3,791,117","3,854,230","2,553,250","1,529,895","1,457,927","2,302,196"
"glycosyl ceramide (d18:2/24:1, d18:1/24:2)*",Lipid,Ceramides,LC/MS Pos Late,3380,808.66609,,,,"1,777,262","2,428,561","3,158,863","2,684,464","2,576,476","1,135,860","1,778,936","2,038,350","1,910,051","2,463,373","3,791,125","3,149,581","2,710,521","1,312,324","1,502,904","1,872,172","2,363,622","2,485,058","3,648,974","2,686,932","2,627,243","1,365,134","1,323,435","1,846,142"
glycosyl-N-(2-hydroxynervonoyl)-sphingosine (d18:1/24:1(2OH))*,Lipid,Ceramides,LC/MS Pos Late,3839,826.67665,,,,"1,293,534","1,684,997","1,790,887","1,640,915","1,836,157","753,069","1,417,677","1,428,805","1,474,502","1,791,846","2,055,075","1,869,721","1,956,729","864,960","1,241,682","1,331,594","1,981,255","1,710,323","1,874,747","1,866,435","1,690,603","934,544",,"1,194,740"
glycosyl-N-palmitoyl-sphingosine (d18:1/16:0),Lipid,Ceramides,LC/MS Pos Late,2623,700.5722,,,,"8,216,259","12,893,197","15,143,930","15,139,599","13,280,787","7,856,164","8,496,843","10,824,841","8,300,812","12,114,964","17,383,752","16,920,380","12,195,531","8,410,661","7,855,266","9,990,109","9,975,999","12,479,240","17,299,754","17,403,980","13,006,744","9,386,497","6,512,694","9,412,110"
glycosyl-N-stearoyl-sphingosine (d18:1/18:0),Lipid,Ceramides,LC/MS Pos Late,3053,728.6035,,,,"1,292,135","2,387,469","3,668,650","3,689,982","1,977,482","1,287,671","1,695,565","2,364,963","1,435,934","2,613,931","3,893,336","3,991,943","2,221,609","1,675,696","1,507,084","2,396,733","1,673,167","2,802,555","4,108,463","3,535,209","1,986,778","1,411,206","1,408,238","2,181,250"
glycylleucine,Peptide,Dipeptide,LC/MS Pos Early,3059,189.12337,92843,C02155,HMDB00759,"462,264","240,754","222,762","277,976","448,482","316,830","188,968","286,761","576,337","356,740","313,066","554,869","551,264","398,049","213,605","342,573","147,050","149,573","126,379","200,592","164,210","198,118","123,011","137,288"
glycylvaline,Peptide,Dipeptide,LC/MS Pos Early,2734,175.10772,97417,,HMDB28854,"1,000,423","347,517","680,872","958,182","810,158","543,962","422,158","781,440","2,028,637","673,681","1,327,779","1,946,794","1,171,117","927,364","606,953","1,044,306","214,814","142,172","70,301","290,029","215,521","250,143","132,775","204,096"
guanidinoacetate,Amino Acid,Creatine Metabolism,LC/MS Polar,2884,116.04655,763,C00581,HMDB00128,"1,151,635","457,816","890,634","1,386,476","780,632","1,020,845","530,888","655,550","1,355,183","551,860","1,016,666","1,309,071","739,253","1,048,028","453,553","671,642","1,297,272","511,813","791,648","1,336,933","771,789","925,284","506,928","675,427"
guanidinosuccinate,Amino Acid,Guanidino and Acetamido Metabolism,LC/MS Polar,3550,174.05203,97856,C03139,HMDB03157,"55,765","82,394","64,154","76,482",,"110,166","214,594","142,171",,"68,788",,"57,399",,"128,350","228,748","157,127","52,878",,"64,273","87,000","69,355","137,277","166,952","151,259"
guanine,Nucleotide,"Purine Metabolism, Guanine containing",LC/MS Pos Early,2032,152.05669,764,C00242,HMDB00132,"33,750,900","18,863,404","15,141,803","15,065,309","33,733,380","48,892,320","37,870,360","26,155,482","31,512,856","17,594,448","10,681,056","25,867,108","28,043,006","48,532,592","40,214,624","23,938,216","33,363,900","16,644,066","11,442,018","23,364,182","27,188,736","49,419,664","36,733,144","25,585,076"
guanosine,Nucleotide,"Purine Metabolism, Guanine containing",LC/MS Neg,1662,282.08439,6802,C00387,HMDB00133,"7,567,786","5,171,375","6,038,385","6,559,007","9,122,183","7,338,587","5,096,694","7,106,982","7,851,344","5,785,105","5,853,689","9,145,988","6,943,700","7,715,715","5,665,091","7,291,341","6,891,897","6,074,751","5,116,617","10,674,351","9,602,090","7,861,755","5,521,265","8,099,128"
gulonate*,Cofactors and Vitamins,Ascorbate and Aldarate Metabolism,LC/MS Polar,2750,195.05102,9794176,C00257,HMDB03290,"111,386,256","79,090,152","64,607,780","60,457,944","110,137,824","164,176,288","161,351,056","89,068,904","118,866,944","89,944,624","79,219,480","66,439,956","104,308,584","156,056,224","141,988,368","66,067,796","98,970,672","82,162,080","63,438,184","62,673,512","97,770,352","159,856,256","175,183,136","83,965,184"
heme,Cofactors and Vitamins,Hemoglobin and Porphyrin Metabolism,LC/MS Pos Late,1124,616.1762,26945,C00032,HMDB03178,"2,469,997","292,551","2,020,033","3,621,419","7,914,639","4,400,213","6,277,992","31,374,700","2,105,087","594,799","1,973,058","19,878,666","5,677,840","5,088,926","5,445,112","30,015,776","1,595,385","550,546","1,457,598","9,568,805","3,832,877","2,963,631","2,299,240","19,434,674"
hexadecadienoate (16:2n6),Lipid,Polyunsaturated Fatty Acid (n3 and n6),LC/MS Neg,5398,251.20165,,,HMDB00477,"11,658,795","4,482,725","3,676,956","5,056,171","3,155,838","6,033,065","9,448,534","6,888,661","15,163,702","5,023,468","4,740,480","7,069,227","2,991,837","6,531,906","6,211,817","6,354,715","7,343,293","5,698,483","2,704,982","3,143,431","5,756,258","7,872,317","7,340,593","6,578,429"
hexadecanedioate,Lipid,"Fatty Acid, Dicarboxylate",LC/MS Neg,4615,285.20713,10459,C19615,HMDB00672,"1,573,711","2,029,918","1,130,871","1,153,854","941,430","882,633","1,263,757","1,170,695","1,264,894","2,808,693","1,146,259","1,300,442","725,176","886,441","1,486,412","1,532,836","1,290,869","2,600,451","1,031,964","1,292,263","1,184,482","863,915","1,647,685","1,238,491"
hexadecatrienoate (16:3n3),Lipid,Polyunsaturated Fatty Acid (n3 and n6),LC/MS Neg,5330,249.186,5312428,,,"582,221","327,270","187,174","311,057","169,904","428,306","374,600","562,348","547,433","370,743","301,028",,"181,311","400,006","321,679","477,324","433,817","282,866","196,502","256,495",,"422,955","265,562","400,834"
hexanoylcarnitine (C6),Lipid,Fatty Acid Metabolism(Acyl Carnitine),LC/MS Pos Early,3308,260.18564,6426853,,HMDB00705,"468,416","595,381","570,406","500,117","596,316","612,549","1,202,360","736,580","348,063","617,066","619,793","526,033","519,593","734,514","882,662","606,010","586,750","669,844","637,197",,"668,806","654,811","885,089","814,197"
hexanoylglycine,Lipid,Fatty Acid Metabolism(Acyl Glycine),LC/MS Neg,2900,172.09791,99463,,HMDB00701,"611,257","438,265","763,557","682,073","579,541","581,670","735,141","580,813","614,372","503,813","748,016","736,371","448,059","618,369","809,340","721,568","585,155","425,603","699,746","845,117","553,784","560,292","876,809","687,619"
hippurate,Xenobiotics,Benzoate Metabolism,LC/MS Neg,2106.9,178.05096,464,C01586,HMDB00714,"50,804,908","21,869,708","26,016,858","22,518,048","42,805,092","29,097,688","36,371,228","24,952,292","53,749,824","22,414,966","23,726,920","25,421,528","40,941,248","31,266,716","38,102,392","24,183,316","52,589,644","23,418,402","24,949,096","23,059,910","39,010,644","29,036,528","38,378,040","24,595,142"
histamine,Amino Acid,Histidine Metabolism,LC/MS Pos Early,3035,112.08693,774,C00388,HMDB00870,"787,688","116,271","131,313","643,652","1,813,668","3,865,315",,"277,853","765,439","112,397","132,479","1,132,205","1,507,695","3,390,647",,"286,920","878,353","260,617",,"1,059,151","1,282,850","4,659,249",,"267,442"
histidine,Amino Acid,Histidine Metabolism,LC/MS Neg,755.9,154.0622,6274,C00135,HMDB00177,"114,693,712","104,215,864","109,299,024","89,723,576","119,298,008","108,063,496","126,146,264","91,367,008","112,918,864","106,733,632","105,407,904","98,634,832","111,290,136","116,118,480","124,022,264","89,922,784","125,069,352","121,885,696","103,176,880","94,796,136","105,761,888","111,290,224","122,235,552","98,189,896"
homoarginine,Amino Acid,Urea cycle; Arginine and Proline Metabolism,LC/MS Pos Early,2882,189.13461,9085,C01924,HMDB00670,"32,413,750","19,475,848","29,559,836","22,176,226","18,908,956","16,948,896","15,940,735","17,456,472","33,573,156","22,276,670","29,234,642","26,068,518","18,232,170","19,487,716","13,784,180","12,840,069","32,517,860","21,008,378","23,287,972","25,628,626","19,523,606","23,245,062","13,368,091","13,954,979"
homocitrulline,Amino Acid,Urea cycle; Arginine and Proline Metabolism,LC/MS Pos Early,1908,190.11862,65072,C02427,HMDB00679,"7,691,874","12,661,576","9,411,192","13,538,403","11,021,181","15,508,962","25,252,902","13,027,998","9,527,329","13,106,746","10,981,014","12,996,015","11,669,982","17,402,116","19,178,200","11,460,861","8,061,903","16,381,314","10,047,515","13,588,678","13,194,266","19,951,324","24,825,144","12,547,042"
homostachydrine*,Xenobiotics,Food Component/Plant,LC/MS Pos Early,1750,158.11756,441447,C08283,HMDB33433,"3,358,335","4,516,444","2,844,682","4,605,855","3,909,030","3,602,335","7,691,600","3,764,468","2,934,866","4,386,880","2,887,409","4,888,506","3,972,281","4,237,187","7,480,935","3,502,969","3,110,745","4,477,974","2,897,108","5,206,796","3,774,807","3,694,271","7,520,323","3,705,479"
hydantoin-5-propionic acid,Amino Acid,Histidine Metabolism,LC/MS Polar,2080,171.04113,782,C05565,HMDB01212,,,,,,,,,,,,"54,425",,,,,,,,,,,,
hydroquinone sulfate,Xenobiotics,Drug,LC/MS Neg,1395,188.98631,161220,C00530,HMDB02434,"205,081","89,095","175,806","89,064","195,473","175,953","770,816","135,296","159,751","95,724","131,836","113,769","191,107","196,354","731,804","136,865","219,734","111,196","146,536","100,466","202,982","158,894","813,862","180,434"
trans-4-hydroxyproline,Amino Acid,Urea cycle; Arginine and Proline Metabolism,LC/MS Pos Early,1064,132.06552,5810,C01157,HMDB00725,"696,468,800","803,172,800","743,906,432","818,926,464","885,230,848","624,450,112","572,990,784","667,229,696","692,536,192","795,424,448","732,973,760","854,819,456","906,878,336","646,784,704","547,700,416","637,010,752","689,857,984","796,239,552","647,821,120","857,761,408","853,105,024","638,748,352","555,140,800","645,192,320"
hypotaurine,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",LC/MS Pos Early,724,110.02703,107812,C00519,HMDB00965,"3,268,378","1,050,821","974,764","1,689,518","1,508,064","1,344,178","2,498,674","1,797,239","3,276,738","1,031,825","820,944","2,220,545","1,349,927","1,195,895","2,291,774","1,731,625","3,531,930","1,276,083","1,214,684","1,976,839","1,096,837","1,463,355","2,776,312","1,878,975"
hypoxanthine,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",LC/MS Neg,1291.2,135.03123,790,C00262,HMDB00157,"43,298,292","31,901,714","26,078,948","26,130,766","44,251,624","53,607,240","34,277,976","37,445,912","41,851,516","31,612,532","22,158,358","36,861,780","38,874,548","53,470,796","33,534,262","35,015,624","43,118,104","31,383,568","22,848,764","32,207,148","28,471,920","50,785,528","35,348,664","38,012,616"
imidazole lactate,Amino Acid,Histidine Metabolism,LC/MS Pos Early,2040,157.06077,440129,C05568,HMDB02320,"1,034,358","709,148","1,810,972","2,009,154","1,739,583","1,257,930","700,030","1,298,947","1,430,452","869,971","1,488,601","2,067,736","1,631,298","1,317,768","715,763","1,684,794","1,323,352","829,205","1,727,063","1,672,095","1,168,698","1,358,098","1,018,652","1,107,665"
imidazole propionate,Amino Acid,Histidine Metabolism,LC/MS Pos Early,2263,141.06586,70630,,HMDB02271,"39,509,352","28,308,864","63,996,160","65,827,352","44,920,088","85,123,704","28,839,876","41,483,224","41,927,132","28,362,692","56,822,348","78,377,272","46,014,156","81,820,520","28,184,060","44,072,784","43,741,940","34,560,712","65,626,400","64,861,336","40,858,848","81,270,616","34,062,844","39,111,204"
indoleacetate,Amino Acid,Tryptophan Metabolism,LC/MS Neg,2200,174.05605,802,C00954,HMDB00197,"3,398,786","1,318,026","1,295,360","1,635,154","2,415,569","2,802,457","1,248,813","1,372,443","3,408,180","1,403,476","1,338,838","1,933,557","2,014,564","3,114,375","1,279,554","1,467,455","2,902,770","1,344,101","1,242,542","1,748,231","2,098,920","2,642,564","1,213,457","1,335,014"
indoleacetylglycine,Amino Acid,Tryptophan Metabolism,LC/MS Neg,2610,231.07751,446640,,,"2,464,513","2,110,262","2,607,805","2,893,394","3,057,686","3,578,902","1,720,945","3,302,049","2,582,871","2,505,376","2,524,143","3,309,663","2,301,478","3,546,538","2,009,519","3,920,424","2,600,078","2,347,624","2,345,972","3,560,938","2,495,266","3,354,787","1,900,434","3,586,313"
indoleacrylate,Xenobiotics,Food Component/Plant,LC/MS Neg,2511,186.05605,15030923,,HMDB00734,"2,285,422","557,398","701,431","351,408","2,301,769","2,022,393","404,571","599,873","2,230,398","673,809","753,914","431,649","1,828,847","2,078,452","459,780","660,717","2,142,045","614,912","719,747","404,694","2,063,657","1,984,361","460,826","651,481"
indolelactate,Amino Acid,Tryptophan Metabolism,LC/MS Pos Early,2600,206.08117,92904,C02043,HMDB00671,"9,376,578","8,258,128","7,464,164","12,235,634","13,727,435","10,159,219","9,515,999","24,148,958","10,221,325","8,445,602","7,759,791","11,966,945","13,333,566","12,279,472","8,546,443","22,990,180","8,656,055","8,386,582","7,501,106","10,372,575","13,977,827","11,562,328","8,753,401","22,712,552"
indolepropionate,Amino Acid,Tryptophan Metabolism,LC/MS Pos Early,3205,190.08626,3744,,HMDB02302,"38,335,416","14,739,984","17,672,368","9,120,514","42,400,456","40,891,088","5,679,774","11,807,144","45,271,924","14,115,634","18,211,866","9,010,231","43,840,884","43,795,604","5,377,933","11,397,776","42,304,956","15,980,719","18,216,056","7,953,733","43,614,580","45,761,052","6,065,454","10,594,124"
indolin-2-one,Xenobiotics,Food Component/Plant,LC/MS Pos Early,2575,134.06004,321710,C12312,,"581,429","141,337","282,885","193,932","852,007","567,674","111,020","161,705","703,567","83,158","356,272","216,149","841,770","528,111",,"286,704","770,221","261,971","294,202",,"795,824","526,944","124,399","256,787"
inosine,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",LC/MS Neg,1602.1,267.07349,6021,C00294,HMDB00195,"75,805,632","59,606,848","57,764,968","62,241,256","94,569,920","55,849,752","37,902,620","78,988,792","65,763,804","77,803,680","59,727,936","79,064,456","81,362,464","57,319,768","38,483,696","88,637,648","71,307,656","63,905,552","53,105,808","71,302,696","70,800,360","55,305,704","39,648,176","85,660,776"
inosine 5'-monophosphate (IMP),Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",LC/MS Pos Early,650,349.05438,8582,C00130,HMDB00175,"867,960","152,345","196,284","228,917","3,758,435",,,"1,212,029","627,305","114,404","116,881","774,378","3,122,048",,,"901,892","957,251","125,474","221,801","967,813","513,719",,,"1,281,162"
isobutyrylcarnitine (C4),Amino Acid,"Leucine, Isoleucine and Valine Metabolism",LC/MS Pos Early,2810,232.15434,168379,,HMDB00736,"4,297,741","6,420,949","6,930,353","6,295,248","7,026,480","4,165,189","6,696,212","5,918,390","4,128,773","5,919,866","6,369,607","7,072,213","6,143,700","4,773,942","6,408,180","6,221,492","4,386,174","6,590,231","6,874,853","6,720,984","6,267,305","4,262,624","6,178,285","6,490,894"
isobutyrylglycine,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",LC/MS Neg,1420,144.06661,10855600,,HMDB00730,"753,604","1,070,675","1,038,839","1,188,105","1,203,629","795,300","646,106","1,026,962","774,758","1,095,972","980,812","1,320,149","1,057,733","885,843","704,558","1,033,827","689,598","1,101,315","944,674","1,152,636","1,094,115","688,137","744,197","782,102"
isoeugenol sulfate,Xenobiotics,Food Component/Plant,LC/MS Neg,3893,243.03326,,,,"100,060","66,420","53,921","49,756","60,684","111,705","33,583","91,441","117,016","80,020","45,154","46,628","69,576","92,097","64,031","117,942","99,539","72,203","49,202","77,645","63,288","91,963","76,435","87,225"
isoleucine,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",LC/MS Pos Early,2800,132.10191,6306,C00407,HMDB00172,"1,435,309,696","1,630,901,632","1,945,551,616","1,566,094,720","1,699,459,712","1,707,335,936","1,760,512,896","1,666,584,320","1,457,795,584","1,671,148,288","1,896,651,008","1,653,097,472","1,730,414,976","1,722,933,376","1,749,213,696","1,624,465,536","1,400,466,176","1,671,619,072","1,821,253,120","1,623,651,200","1,599,299,456","1,734,826,880","1,801,491,072","1,622,864,512"
isoleucylglycine,Peptide,Dipeptide,LC/MS Neg,1992,187.10881,342532,,HMDB28907,"222,627","122,291",,,"688,934","252,450",,"209,320","177,204","240,410",,"212,708","468,681",,,"203,171","335,757","163,527",,,"301,685","209,787",,"213,782"
isovalerate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",LC/MS Neg,1564,101.0608,10430,C08262,HMDB00718,"1,169,505","514,094","1,138,076","990,163","1,683,084","780,483","1,048,502","1,280,836","1,696,693","826,653","2,877,166","1,555,774","1,216,656","1,015,758","896,660","1,816,064","833,495","661,353","909,738","361,877","1,283,327","1,020,710","740,235","1,126,074"
isovalerylcarnitine (C5),Amino Acid,"Leucine, Isoleucine and Valine Metabolism",LC/MS Pos Early,3085,246.16999,6426851,,HMDB00688,"2,749,148","8,054,968","6,138,611","6,006,813","7,202,017","3,827,453","7,078,962","5,501,720","2,792,122","8,345,767","6,567,333","6,485,737","6,720,844","3,933,982","5,418,105","5,194,897","2,981,300","8,803,012","6,250,651","6,870,910","6,976,783","4,907,881","5,976,613","5,364,471"
isovalerylglycine,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",LC/MS Neg,1950,158.08226,546304,,HMDB00678,"1,632,536","2,963,226","2,331,190","1,311,051","2,716,358","1,769,765","1,435,633","1,601,885","1,603,184","3,281,442","2,156,390","1,958,152","2,222,089","1,716,105","1,581,886","1,840,000","1,526,606","2,796,560","1,926,815","1,704,807","2,102,689","1,397,370","1,602,944","1,666,130"
kynurenate,Amino Acid,Tryptophan Metabolism,LC/MS Neg,2224,188.03531,3845,C01717,HMDB00715,"623,848","393,461","664,543","666,144","587,628","989,015","596,680","779,259","669,602","411,951","580,947","734,420","530,869","1,060,493","685,125","814,408","669,825","399,270","616,463","759,284","458,814","940,186","644,227","849,715"
kynurenine,Amino Acid,Tryptophan Metabolism,LC/MS Pos Early,2739,209.09207,161166,C00328,HMDB00684,"109,932,208","82,949,216","101,755,008","117,296,296","86,859,880","121,991,184","122,649,952","91,857,120","106,669,296","78,681,112","102,713,096","114,049,808","89,936,752","128,094,776","113,371,168","85,014,984","103,903,080","80,290,168","96,365,632","118,980,592","92,080,408","130,674,488","118,043,904","88,575,592"
lactate,Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",LC/MS Neg,681.6,89.02442,612,C00186,HMDB00190,"1,662,963,968","1,619,419,776","739,504,640","968,896,832","1,220,292,224","1,433,928,448","1,458,641,408","1,168,128,384","1,655,464,320","1,538,247,552","711,728,064","1,256,267,648","1,233,595,136","1,466,538,240","1,458,406,784","1,051,011,520","1,849,485,696","1,545,865,344","724,749,056","1,166,374,528","1,185,749,632","1,364,657,408","1,402,262,400","1,038,641,088"
lactosyl-N-palmitoyl-sphingosine (d18:1/16:0),Lipid,Ceramides,LC/MS Pos Late,2527,862.62502,,,,"641,592","1,113,193","1,329,088","1,274,498","835,663","749,651","1,060,205","914,404","704,627","1,486,538","1,342,960","1,293,261","1,166,543","1,091,633","831,963","604,989","883,791","1,503,871","1,197,390","901,827","850,932","791,770","744,834","855,158"
lanthionine,Xenobiotics,Chemical,LC/MS Pos Early,1730,209.05906,98504,,,"3,955,964","6,257,690","6,295,807","3,830,731","4,052,086","2,749,778","2,769,618","7,258,681","3,620,801","6,151,874","5,960,136","4,251,652","4,022,972","2,722,756","2,624,780","6,562,082","3,779,079","6,088,198","5,708,846","4,166,958","3,424,229","2,704,766","2,838,860","7,163,442"
laurate (12:0),Lipid,Medium Chain Fatty Acid,LC/MS Neg,5300,199.17035,3893,C02679,HMDB00638,"31,373,812","24,082,130","25,404,936","30,330,206","19,385,718","31,093,370","24,612,836","27,976,352","28,078,822","24,940,644","26,060,484","25,281,896","19,673,152","31,130,214","29,540,512","30,753,684","35,284,216","25,186,754","22,556,276","31,209,388","30,400,346","23,342,712","24,672,064","32,646,668"
laurylcarnitine (C12),Lipid,Fatty Acid Metabolism(Acyl Carnitine),LC/MS Pos Late,1235,344.27954,10427569,,HMDB02250,"806,055","1,573,784","1,596,450","845,933","883,615","1,232,802","2,507,375","1,051,318","766,286","1,600,553","1,666,517","1,000,070","879,030","1,420,776","2,157,761","912,507","970,668","1,529,423","1,628,850","983,599","862,256","1,522,481","1,866,493","994,458"
leucine,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",LC/MS Pos Early,2864,132.10191,6106,C00123,HMDB00687,"1,636,715,392","1,774,962,304","2,103,179,392","1,843,903,232","1,946,354,304","2,040,491,136","1,869,029,248","1,793,389,184","1,613,330,176","1,791,224,832","2,118,624,000","1,863,454,464","1,962,275,200","2,064,545,280","1,810,093,312","1,689,393,280","1,606,870,400","1,806,116,096","1,999,757,568","1,833,538,048","1,885,228,416","2,051,867,520","1,879,956,480","1,717,751,552"
leucylglycine,Peptide,Dipeptide,LC/MS Pos Early,2778,189.12337,79070,,HMDB28929,"115,154","214,075","144,537","191,708","181,221","221,616",,"238,809","133,150","249,746","151,186","202,835","291,146","203,681","136,155","358,959","99,250","172,025","104,820","197,132","214,852","174,161","109,503","127,423"
lignoceroyl sphingomyelin (d18:1/24:0),Lipid,Sphingolipid Metabolism,LC/MS Pos Late,3437,815.70006,,,,"318,886,592","503,966,368","584,305,216","477,199,328","386,924,448","271,243,744","411,185,920","455,778,944","346,881,088","523,314,208","641,492,224","513,114,208","383,435,904","319,556,512","338,369,888","399,441,760","443,458,624","519,820,000","619,483,904","478,194,880","367,308,448","349,365,056","298,268,864","426,950,016"
lignoceroylcarnitine (C24)*,Lipid,Fatty Acid Metabolism(Acyl Carnitine),LC/MS Pos Late,1603,512.46733,,,,"2,175,449","3,033,158","3,679,691","2,864,075","1,628,719","1,454,005","2,696,505","2,608,835","1,958,871","2,750,978","4,001,341","3,249,329","1,443,915","1,737,653","2,340,551","2,514,781","2,911,082","2,495,957","3,952,198","3,098,797","1,576,003","1,807,321","1,695,565","2,562,318"
